game,draw_no,draw_date,n1,n2,n3,n4,n5,n6,special,source,updated_at
539,115000039,,5,14,8,3,1,,,ctbc_result_all,2026-05-17 17:07:40
539,115000120,,2,11,28,32,33,,,ctbc_result_all,2026-05-17 17:07:40
