game,draw_no,draw_date,n1,n2,n3,n4,n5,n6,special,source,updated_at
lotto,115000053,,16,29,30,35,42,43,1,ctbc_result_all,2026-05-17 17:07:40
lotto,115000120,,2,3,49,4,5,10,39,ctbc_result_all,2026-05-17 17:07:40
